naslov,opis,cena,tip,uporabnik_id,kategorija_id
Stojalo za noto,"Brez poškodb, deluje perfektno.",1764.35,prodaja,807,8
Žoga,Zanimajo me različne ponudbe.,746.96,nakup,247,4
Puzzle,"Ugodna cena, možen dogovor.",1129.88,prodaja,655,7
Vlakec,"Original embalaža, polna oprema.",1969.64,prodaja,912,7
Škarje za živo mejo,Zanimajo me različne ponudbe.,,nakup,393,9
Svetilka,Prodam zaradi menjave.,1190.15,prodaja,576,5
Harmonika,"Malo vidne obrabe, sicer ok.",781.31,prodaja,460,8
Pralni stroj,"Malo vidne obrabe, sicer ok.",97.87,prodaja,404,5
Majica,"Kupljeno lani, skoraj novo.",1594.35,prodaja,1250,2
Plišasta igrača,Prosim kontaktirajte z emailom.,1104.34,nakup,512,7
Kamp prikolica,"Kupljeno lani, skoraj novo.",467.64,prodaja,1050,3
Traktor,"Malo vidne obrabe, sicer ok.",971.84,prodaja,416,3
Vrtalnik,"Original embalaža, polna oprema.",,prodaja,1254,9
Slovar,"Kupljeno lani, skoraj novo.",1817.11,prodaja,300,6
Zvočna oprema,Prodam zaradi menjave.,20.47,prodaja,1081,8
Zavese,Kontaktirajte me po emailu.,1397.95,nakup,806,5
Stojalo za noto,"Ugodna cena, možen dogovor.",,prodaja,1065,8
Cestno kolo,"Znižana cena, hitro!",261.18,prodaja,1538,4
Tiskalnik,Prodam ker ne potrebujem več.,790.72,prodaja,944,1
Bobni,"Brez poškodb, deluje perfektno.",281.15,prodaja,1705,8
Cvetlični lonci,Potrebujem čim prej.,368.96,nakup,1065,5
Bobni,Zanimajo me različne ponudbe.,623.32,nakup,1686,8
Grablje,"Brez poškodb, deluje perfektno.",1567.84,prodaja,1172,9
Krilo,Sprejemam tudi malo rabljenega.,225.35,nakup,1531,2
Kavč,"Kupljeno lani, skoraj novo.",1491.44,prodaja,163,5
Pralni stroj,Zanimajo me različne ponudbe.,,nakup,405,5
Televizor,"Original embalaža, polna oprema.",1306.52,prodaja,719,1
Veslač,Sprejemam tudi malo rabljenega.,16.26,nakup,6,4
Mikrofon,"Brez poškodb, deluje perfektno.",787.32,prodaja,793,8
Zunanja igrača,Prodam zaradi menjave.,49.98,prodaja,852,7
Avtomobilčki,"Original embalaža, polna oprema.",879.83,prodaja,175,7
Kompresor,"Ugodna cena, možen dogovor.",1633.48,prodaja,951,9
Powerbank,Zelo dobro ohranjeno.,1603.85,prodaja,1486,1
Pisarniški stol,"V dobrem stanju, brez napak.",1984.13,prodaja,539,5
Skuter,Prodam zaradi menjave.,517.09,prodaja,385,3
Powerbank,Zelo dobro ohranjeno.,155.59,prodaja,374,1
Električno kolo,Primerno za vsakdanjo uporabo.,,nakup,979,3
Traktor,"Rabljeno, deluje brezhibno.",715.01,prodaja,202,3
Kolesarska čelada,"V dobrem stanju, brez napak.",1625.82,prodaja,35,4
Zunanja igrača,"V dobrem stanju, brez napak.",1986.08,prodaja,1518,7
Hlače,"Original embalaža, polna oprema.",833.57,prodaja,1854,2
Hlače,Prosim kontaktirajte z emailom.,585.14,nakup,1214,2
Saksofon,"Rabljeno, deluje brezhibno.",1465.92,prodaja,1427,8
Gorsko kolo,"Original embalaža, polna oprema.",,prodaja,916,4
Kapa in rokavice,"Ugodna cena, možen dogovor.",,prodaja,501,2
Vinilne plošče,"V dobrem stanju, brez napak.",1734.2,prodaja,47,8
Plišasta igrača,Prodam ker ne potrebujem več.,1566.53,prodaja,695,7
Brusilnik,"Odlično ohranjeno, malo uporabljeno.",1361.5,prodaja,718,9
Skejtbord,"Znižana cena, hitro!",1076.93,prodaja,175,4
Zunanja igrača,Iščem v dobrem stanju.,,nakup,317,7
Harmonika,"Znižana cena, hitro!",1415.6,prodaja,313,8
Kamp prikolica,"Rabljeno, deluje brezhibno.",211.21,prodaja,1042,3
Škarje za živo mejo,"Znižana cena, hitro!",54.63,prodaja,1436,9
Biografija,Zelo dobro ohranjeno.,393.54,prodaja,250,6
Skuterček,"Ugodna cena, možen dogovor.",1337.41,prodaja,910,3
Spletna kamera,"Odlično ohranjeno, malo uporabljeno.",1917.31,prodaja,890,1
Računalnik,"Kupljeno lani, skoraj novo.",1260.9,prodaja,1193,1
Enciklopedija,Zelo dobro ohranjeno.,322.34,prodaja,537,6
Bunda,Zanimajo me različne ponudbe.,773.78,nakup,428,2
Kombi,"V dobrem stanju, brez napak.",79.04,prodaja,57,3
Športni copati,Sprejemam tudi malo rabljenega.,885.13,nakup,1678,2
Zamrzovalnik,"V dobrem stanju, brez napak.",1617.34,prodaja,675,5
Lego kocke,"Kupljeno lani, skoraj novo.",851.88,prodaja,1334,7
Barbika,Zanimajo me različne ponudbe.,166.25,nakup,1035,7
Pametna ura,"Malo vidne obrabe, sicer ok.",443.19,prodaja,1235,1
Športni copati,Zelo dobro ohranjeno.,1490.75,prodaja,1244,2
Lopata,Prodam ker ne potrebujem več.,,prodaja,1396,9
Saksofon,Prodam ker ne potrebujem več.,1657.11,prodaja,800,8
Stojalo za noto,"Original embalaža, polna oprema.",964.63,prodaja,1162,8
Kavbojke,Potrebujem čim prej.,525.96,nakup,1375,2
Konstruktorji,Sprejemam tudi brez embalaže.,1010.24,nakup,88,7
Tepih,"Ugodna cena, možen dogovor.",199.91,prodaja,674,5
Bobni,"Kupljeno lani, skoraj novo.",1333.69,prodaja,830,8
Slušalke,Prodam zaradi menjave.,1176.68,prodaja,1953,1
Harmonika,Prodam ker ne potrebujem več.,938.39,prodaja,1042,8
Kombi,Potrebujem čim prej.,354.31,nakup,840,3
Škarje za živo mejo,"Rabljeno, deluje brezhibno.",632.02,prodaja,1388,9
Kuharica,"Brez poškodb, deluje perfektno.",1783.84,prodaja,1915,6
Atlas,"Ugodna cena, možen dogovor.",,prodaja,412,6
Televizor,Sprejemam tudi malo rabljenega.,,nakup,102,1
Bobni,Iščem za darilo.,181.33,nakup,673,8
Mešalnik za beton,Sprejemam tudi malo rabljenega.,,nakup,573,9
Varilni aparat,"Brez poškodb, deluje perfektno.",224.21,prodaja,983,9
Lestev,Prodam ker ne potrebujem več.,503.96,prodaja,1438,9
Zimski škornji,Sprejemam tudi malo rabljenega.,181.49,nakup,1195,2
Priklopnik,"Rabljeno, deluje brezhibno.",558.35,prodaja,316,3
Lego kocke,Zanimajo me različne ponudbe.,835.91,nakup,1527,7
Planinski nahrbtnik,Sprejemam tudi malo rabljenega.,,nakup,585,4
Zvočnik,Primerno za vsakdanjo uporabo.,37.86,nakup,349,1
Atlas,"Ugodna cena, možen dogovor.",1315.96,prodaja,585,6
Kuharica,Prodam ker ne potrebujem več.,7.27,prodaja,1803,6
Zunanja igrača,Zanimajo me različne ponudbe.,1340.01,nakup,1069,7
Enciklopedija,Iščem za darilo.,122.76,nakup,831,6
Saksofon,"Ugodna cena, možen dogovor.",778.48,prodaja,375,8
Kuharica,Zelo dobro ohranjeno.,1600.36,prodaja,1026,6
Flavta,"Ugodna cena, možen dogovor.",92.08,prodaja,637,8
Atlas,"Rabljeno, deluje brezhibno.",804.64,prodaja,1052,6
Saksofon,Zanimajo me različne ponudbe.,13.42,nakup,287,8
Polnilec,"V dobrem stanju, brez napak.",1418.51,prodaja,1555,1
Lego kocke,"Znižana cena, hitro!",,prodaja,559,7
Konstruktorji,Sprejemam tudi brez embalaže.,,nakup,1803,7
Škarje za živo mejo,Iščem za darilo.,277.14,nakup,1084,9
Učbenik,"Odlično ohranjeno, malo uporabljeno.",412.11,prodaja,1118,6
Quad,"Ugodna cena, možen dogovor.",1863.64,prodaja,961,3
Traktor,Zanimajo me različne ponudbe.,559.99,nakup,1052,3
Otroška knjiga,"Rabljeno, deluje brezhibno.",1217.29,prodaja,118,6
Zamrzovalnik,"Ugodna cena, možen dogovor.",335.24,prodaja,1846,5
Veslač,Iščem ugodne ponudbe.,,nakup,289,4
Vrtalnik,Sprejemam tudi brez embalaže.,,nakup,1368,9
Obleka,"Znižana cena, hitro!",,prodaja,1998,2
Lego kocke,Iščem za darilo.,747.45,nakup,1284,7
Tiskalnik,"Odlično ohranjeno, malo uporabljeno.",794.65,prodaja,192,1
Fitnes naprava,Prodam zaradi menjave.,1944.62,prodaja,1401,4
Zamrzovalnik,Sprejemam tudi malo rabljenega.,594.12,nakup,1542,5
Šal,Primerno za vsakdanjo uporabo.,459.16,nakup,75,2
Fitnes naprava,Prosim kontaktirajte z emailom.,1108.85,nakup,693,4
Kompresor,Prodam ker ne potrebujem več.,,prodaja,1303,9
Smučke,"Odlično ohranjeno, malo uporabljeno.",645.23,prodaja,513,4
Mešalnik za beton,Iščem ugodne ponudbe.,1331.64,nakup,1740,9
Bas kitara,"Rabljeno, deluje brezhibno.",1227.06,prodaja,1901,8
Stripovski album,"V dobrem stanju, brez napak.",1785.48,prodaja,287,6
Športni copati,Prodam zaradi menjave.,1995.74,prodaja,1403,2
Skuterček,"Znižana cena, hitro!",519.39,prodaja,1563,3
Zavese,"Ugodna cena, možen dogovor.",1542.7,prodaja,847,5
Motor,"Kupljeno lani, skoraj novo.",656.68,prodaja,1405,3
Lestev,"V dobrem stanju, brez napak.",1209.34,prodaja,864,9
Lego kocke,"V dobrem stanju, brez napak.",,prodaja,342,7
Mešalnik za beton,Kontaktirajte me po emailu.,563.18,nakup,617,9
Televizor,"Original embalaža, polna oprema.",84.72,prodaja,1322,1
Lopata,"Rabljeno, deluje brezhibno.",1079.91,prodaja,122,9
Tiskalnik,"Malo vidne obrabe, sicer ok.",556.4,prodaja,405,1
Gorsko kolo,"Ugodna cena, možen dogovor.",,prodaja,296,4
Figurice,"Odlično ohranjeno, malo uporabljeno.",905.42,prodaja,1577,7
Električno kolo,"Kupljeno lani, skoraj novo.",995.24,prodaja,690,3
Žoga,"Original embalaža, polna oprema.",1370.26,prodaja,1987,4
Zunanja igrača,"Malo vidne obrabe, sicer ok.",1792.55,prodaja,916,7
Škarje za živo mejo,Prodam ker ne potrebujem več.,928.01,prodaja,830,9
Krilo,Prodam zaradi menjave.,229.01,prodaja,680,2
Plišasta igrača,"Rabljeno, deluje brezhibno.",1703.13,prodaja,98,7
Vinilne plošče,Zelo dobro ohranjeno.,,prodaja,763,8
Quad,"Ugodna cena, možen dogovor.",92.32,prodaja,1467,3
Varilni aparat,"Rabljeno, deluje brezhibno.",1752.25,prodaja,1646,9
Televizor,Zelo dobro ohranjeno.,1713.61,prodaja,1436,1
Kompresor,"Rabljeno, deluje brezhibno.",705.86,prodaja,783,9
Mikrofon,"Brez poškodb, deluje perfektno.",1396.74,prodaja,824,8
Smučke,Iščem za darilo.,653.06,nakup,997,4
Trobenta,Potrebujem čim prej.,1145.89,nakup,318,8
Rolerji,Iščem ugodne ponudbe.,1454.68,nakup,151,4
Slovar,"Rabljeno, deluje brezhibno.",1202.35,prodaja,1385,6
Stripovski album,Sprejemam tudi brez embalaže.,676.44,nakup,1809,6
Mikrofon,Sprejemam tudi brez embalaže.,959.68,nakup,1081,8
Traktor,Iščem v dobrem stanju.,220.86,nakup,1719,3
Skuterček,"Brez poškodb, deluje perfektno.",1567.6,prodaja,875,3
Žoga,"Original embalaža, polna oprema.",1286.89,prodaja,1818,4
Klaviature,"Original embalaža, polna oprema.",1544.98,prodaja,1340,8
Skejtbord,"Original embalaža, polna oprema.",800.56,prodaja,451,4
Jedilna miza,Prosim kontaktirajte z emailom.,128.23,nakup,1900,5
Biografija,"Kupljeno lani, skoraj novo.",1762.94,prodaja,887,6
Fotoaparat,"Odlično ohranjeno, malo uporabljeno.",633.21,prodaja,1912,1
Postelja,"Kupljeno lani, skoraj novo.",813.35,prodaja,1296,5
Pralni stroj,Sprejemam tudi brez embalaže.,,nakup,723,5
Smuči,Sprejemam tudi brez embalaže.,358.67,nakup,1750,4
Pulover,Prodam zaradi menjave.,252.38,prodaja,1314,2
Pulover,"Kupljeno lani, skoraj novo.",,prodaja,1719,2
Figurice,"Odlično ohranjeno, malo uporabljeno.",266.24,prodaja,1900,7
Električno kolo,Iščem za darilo.,917.39,nakup,20,3
Krožna žaga,Zelo dobro ohranjeno.,1941.56,prodaja,376,9
Telefon,Prodam zaradi menjave.,1906.84,prodaja,1551,1
Plišasta igrača,Iščem za darilo.,,nakup,1271,7
Lopata,"Malo vidne obrabe, sicer ok.",824.49,prodaja,1597,9
Varilni aparat,Kontaktirajte me po emailu.,865.2,nakup,1837,9
Avtomobilčki,Zanimajo me različne ponudbe.,1066.22,nakup,715,7
Zamrzovalnik,Sprejemam tudi malo rabljenega.,251.98,nakup,221,5
Spletna kamera,Sprejemam tudi brez embalaže.,549.85,nakup,1349,1
Kitara,"Odlično ohranjeno, malo uporabljeno.",670.85,prodaja,1193,8
Kapa in rokavice,Iščem za darilo.,,nakup,905,2
Vinilne plošče,Zelo dobro ohranjeno.,193.65,prodaja,750,8
Pametna ura,Prodam ker ne potrebujem več.,880.49,prodaja,1344,1
Konstruktorji,"Malo vidne obrabe, sicer ok.",1800.73,prodaja,1166,7
Skejtbord,Potrebujem čim prej.,290.72,nakup,366,4
Smuči,"V dobrem stanju, brez napak.",1198.87,prodaja,712,4
Učbenik,"Rabljeno, deluje brezhibno.",1182.4,prodaja,534,6
Družabna igra,Iščem v dobrem stanju.,,nakup,169,7
Zimska jakna,"Brez poškodb, deluje perfektno.",470.53,prodaja,361,2
Klaviature,"Original embalaža, polna oprema.",1774.65,prodaja,1874,8
Figurice,Primerno za vsakdanjo uporabo.,858.49,nakup,38,7
Traktor,"Znižana cena, hitro!",1056.61,prodaja,132,3
Zavese,Primerno za vsakdanjo uporabo.,519.95,nakup,911,5
Pas,"V dobrem stanju, brez napak.",914.92,prodaja,1921,2
Grablje,"V dobrem stanju, brez napak.",909.48,prodaja,1885,9
Flavta,Sprejemam tudi brez embalaže.,,nakup,1001,8
Pulover,Sprejemam tudi brez embalaže.,,nakup,1875,2
Tepih,Sprejemam tudi malo rabljenega.,360.23,nakup,1616,5
Zamrzovalnik,"V dobrem stanju, brez napak.",955.75,prodaja,1449,5
Roman,"Brez poškodb, deluje perfektno.",1718.7,prodaja,714,6
Roman,"Odlično ohranjeno, malo uporabljeno.",1047.51,prodaja,1189,6
Kapa in rokavice,Zelo dobro ohranjeno.,186.71,prodaja,580,2
Brusilnik,"Kupljeno lani, skoraj novo.",1942.13,prodaja,1946,9
Škarje za živo mejo,"V dobrem stanju, brez napak.",823.46,prodaja,711,9
Obleka,"Kupljeno lani, skoraj novo.",421.89,prodaja,1366,2
Zamrzovalnik,Sprejemam tudi brez embalaže.,323.61,nakup,1221,5
Kitara,"Brez poškodb, deluje perfektno.",,prodaja,1566,8
Kamp prikolica,"V dobrem stanju, brez napak.",1711.56,prodaja,263,3
Kavbojke,"Original embalaža, polna oprema.",278.21,prodaja,1368,2
Televizor,"Brez poškodb, deluje perfektno.",543.82,prodaja,1430,1
Učbenik,"Ugodna cena, možen dogovor.",733.5,prodaja,1983,6
Nahrbtnik,Prodam ker ne potrebujem več.,558.25,prodaja,1864,2
Mikrofon,"Malo vidne obrabe, sicer ok.",1415.63,prodaja,643,8
Kombi,Iščem ugodne ponudbe.,756.93,nakup,1121,3
Enciklopedija,Zelo dobro ohranjeno.,,prodaja,1110,6
Cestno kolo,"Ugodna cena, možen dogovor.",1308.45,prodaja,212,4
Zunanja igrača,"Znižana cena, hitro!",1814.31,prodaja,1434,7
Roman,"Malo vidne obrabe, sicer ok.",1982.9,prodaja,1828,6
Bobni,"Original embalaža, polna oprema.",97.72,prodaja,449,8
Biografija,"Kupljeno lani, skoraj novo.",1995.38,prodaja,607,6
Krožna žaga,"V dobrem stanju, brez napak.",160.79,prodaja,1846,9
Lestev,"Rabljeno, deluje brezhibno.",1116.22,prodaja,1794,9
Torba,"V dobrem stanju, brez napak.",1330.71,prodaja,1241,2
Polnilec,Iščem ugodne ponudbe.,949.8,nakup,275,1
Sončna očala,"Znižana cena, hitro!",1873.97,prodaja,709,2
Stripovski album,"Odlično ohranjeno, malo uporabljeno.",103.64,prodaja,1567,6
Smučke,Sprejemam tudi brez embalaže.,,nakup,440,4
Klimatska naprava,Zelo dobro ohranjeno.,1086.86,prodaja,914,1
Motor,Sprejemam tudi brez embalaže.,1190.62,nakup,553,3
Zvočna oprema,"Odlično ohranjeno, malo uporabljeno.",1893.77,prodaja,220,8
Rolerji,"Original embalaža, polna oprema.",867.59,prodaja,257,4
Flavta,Prodam zaradi menjave.,189.88,prodaja,991,8
Računalnik,Prodam zaradi menjave.,1336.64,prodaja,322,1
Harmonika,"V dobrem stanju, brez napak.",1292.9,prodaja,1338,8
Zavese,"Odlično ohranjeno, malo uporabljeno.",270.42,prodaja,724,5
Torba,"Odlično ohranjeno, malo uporabljeno.",720.17,prodaja,1465,2
Ura,"Rabljeno, deluje brezhibno.",,prodaja,1315,2
Vlakec,"Odlično ohranjeno, malo uporabljeno.",345.46,prodaja,518,7
Kompresor,"Kupljeno lani, skoraj novo.",1054.25,prodaja,1272,9
Kitara,Iščem za darilo.,455.44,nakup,48,8
Avto,"Rabljeno, deluje brezhibno.",1593.26,prodaja,1462,3
Šotor,Prodam ker ne potrebujem več.,1264.96,prodaja,1466,4
Priklopnik,"Brez poškodb, deluje perfektno.",814.88,prodaja,1109,3
Fitnes naprava,"Kupljeno lani, skoraj novo.",1905.94,prodaja,227,4
Smuči,"Ugodna cena, možen dogovor.",436.77,prodaja,772,4
Cestno kolo,"Kupljeno lani, skoraj novo.",,prodaja,1839,4
Ura,"Malo vidne obrabe, sicer ok.",,prodaja,1218,2
Potopisna knjiga,"Original embalaža, polna oprema.",1598.97,prodaja,713,6
Električno kolo,Sprejemam tudi brez embalaže.,1071.61,nakup,889,3
Otroška knjiga,Zanimajo me različne ponudbe.,,nakup,1002,6
Barbika,Sprejemam tudi brez embalaže.,,nakup,1087,7
Barbika,Iščem ugodne ponudbe.,,nakup,1354,7
Škarje za živo mejo,"Znižana cena, hitro!",443.77,prodaja,555,9
Tepih,Zanimajo me različne ponudbe.,87.6,nakup,8,5
Barbika,"Odlično ohranjeno, malo uporabljeno.",388.08,prodaja,1658,7
Kamp prikolica,"Brez poškodb, deluje perfektno.",84.34,prodaja,264,3
Jedilna miza,"Brez poškodb, deluje perfektno.",1218.84,prodaja,309,5
Priklopnik,Prodam zaradi menjave.,1620.49,prodaja,1398,3
Računalnik,Prodam ker ne potrebujem več.,72.06,prodaja,1291,1
Brusilnik,"Znižana cena, hitro!",790.79,prodaja,445,9
Električno kolo,"Kupljeno lani, skoraj novo.",1118.07,prodaja,970,3
Bunda,Primerno za vsakdanjo uporabo.,84.2,nakup,1355,2
Biografija,Primerno za vsakdanjo uporabo.,1161.29,nakup,125,6
Kolesarska čelada,Iščem v dobrem stanju.,1232.21,nakup,829,4
Trobenta,"Znižana cena, hitro!",556.64,prodaja,1682,8
Stripovski album,Prodam zaradi menjave.,,prodaja,1007,6
Cestno kolo,"Malo vidne obrabe, sicer ok.",1892.35,prodaja,1567,4
Kompresor,Sprejemam tudi malo rabljenega.,741.56,nakup,438,9
Kompresor,Primerno za vsakdanjo uporabo.,11.42,nakup,1472,9
Puzzle,Sprejemam tudi brez embalaže.,436.67,nakup,1919,7
Stojalo za noto,"V dobrem stanju, brez napak.",665.21,prodaja,498,8
Enciklopedija,Iščem v dobrem stanju.,728.18,nakup,1418,6
Avtomobilčki,Sprejemam tudi malo rabljenega.,217.37,nakup,1784,7
Krilo,"Ugodna cena, možen dogovor.",345.02,prodaja,1384,2
Barbika,Potrebujem čim prej.,1196.18,nakup,1952,7
Flavta,Prodam ker ne potrebujem več.,466.0,prodaja,104,8
Hlače,Prodam ker ne potrebujem več.,1210.27,prodaja,1335,2
Projektor,Iščem v dobrem stanju.,846.58,nakup,1094,1
Kompresor,Zelo dobro ohranjeno.,1761.99,prodaja,210,9
